zip,city,state,country,timezone,latitude,longitude
01844,Methuen,MA,"United States",America/New_York,42.73004,-71.17935
01845,"North Andover",MA,"United States",America/New_York,42.683841,-71.11171
01850,Lowell,MA,"United States",America/New_York,42.655791,-71.30504
01851,Lowell,MA,"United States",America/New_York,42.630915,-71.33238
01852,Lowell,MA,"United States",America/New_York,42.634112,-71.29849
01853,Lowell,MA,"United States",America/New_York,42.446396,-71.459405
01854,Lowell,MA,"United States",America/New_York,42.649758,-71.33348
01860,Merrimac,MA,"United States",America/New_York,42.834246,-71.00207
01862,"North Billerica",MA,"United States",America/New_York,42.573592,-71.2911
01863,"North Chelmsford",MA,"United States",America/New_York,42.634199,-71.39322
01864,"North Reading",MA,"United States",America/New_York,42.583436,-71.0982
01865,"Nutting Lake",MA,"United States",America/New_York,42.446396,-71.459405
01866,Pinehurst,MA,"United States",America/New_York,42.446396,-71.459405
01867,Reading,MA,"United States",America/New_York,42.52585,-71.10993
01876,Tewksbury,MA,"United States",America/New_York,42.601684,-71.22071
01879,Tyngsboro,MA,"United States",America/New_York,42.671589,-71.41694
01880,Wakefield,MA,"United States",America/New_York,42.501345,-71.07132
01885,"West Boxford",MA,"United States",America/New_York,42.635443,-70.879123
01886,Westford,MA,"United States",America/New_York,42.592086,-71.43754
01887,Wilmington,MA,"United States",America/New_York,42.558576,-71.17031
01888,Woburn,MA,"United States",America/New_York,42.446396,-71.459405
01889,"North Reading",MA,"United States",America/New_York,42.571633,-71.109646
01890,Winchester,MA,"United States",America/New_York,42.451945,-71.14276
01899,Andover,MA,"United States",America/New_York,42.635443,-70.879123
01901,Lynn,MA,"United States",America/New_York,42.461246,-70.946743
01902,Lynn,MA,"United States",America/New_York,42.469946,-70.94113
01903,Lynn,MA,"United States",America/New_York,42.635443,-70.879123
01904,Lynn,MA,"United States",America/New_York,42.490421,-70.96579
01905,Lynn,MA,"United States",America/New_York,42.464879,-70.97411
01906,Saugus,MA,"United States",America/New_York,42.462796,-71.0098
01907,Swampscott,MA,"United States",America/New_York,42.474409,-70.90588
01908,Nahant,MA,"United States",America/New_York,42.427096,-70.92809
01910,Lynn,MA,"United States",America/New_York,42.454796,-70.974694
01913,Amesbury,MA,"United States",America/New_York,42.854423,-70.93547
01915,Beverly,MA,"United States",America/New_York,42.560995,-70.8757
01921,Boxford,MA,"United States",America/New_York,42.677869,-71.00844
01922,Byfield,MA,"United States",America/New_York,42.76087,-70.92648
01923,Danvers,MA,"United States",America/New_York,42.569756,-70.94322
01929,Essex,MA,"United States",America/New_York,42.631753,-70.77925
01930,Gloucester,MA,"United States",America/New_York,42.624015,-70.67552
01931,Gloucester,MA,"United States",America/New_York,42.635443,-70.879123
01936,Hamilton,MA,"United States",America/New_York,42.635443,-70.879123
01937,Hathorne,MA,"United States",America/New_York,42.635443,-70.879123
01938,Ipswich,MA,"United States",America/New_York,42.682965,-70.84007
01940,Lynnfield,MA,"United States",America/New_York,42.527895,-71.02834
01944,Manchester,MA,"United States",America/New_York,42.580033,-70.76462
01945,Marblehead,MA,"United States",America/New_York,42.497146,-70.86323
01949,Middleton,MA,"United States",America/New_York,42.602278,-71.01356
01950,Newburyport,MA,"United States",America/New_York,42.809891,-70.86363
01951,Newbury,MA,"United States",America/New_York,42.780141,-70.86866
01952,Salisbury,MA,"United States",America/New_York,42.85048,-70.86153
01960,Peabody,MA,"United States",America/New_York,42.534045,-70.96146
01961,Peabody,MA,"United States",America/New_York,42.635443,-70.879123
01965,"Prides Crossing",MA,"United States",America/New_York,42.558113,-70.825743
01966,Rockport,MA,"United States",America/New_York,42.659936,-70.61727
01969,Rowley,MA,"United States",America/New_York,42.716708,-70.90899
01970,Salem,MA,"United States",America/New_York,42.516845,-70.8985
01971,Salem,MA,"United States",America/New_York,42.635443,-70.879123
01982,"South Hamilton",MA,"United States",America/New_York,42.616643,-70.86513
01983,Topsfield,MA,"United States",America/New_York,42.642471,-70.94424
01984,Wenham,MA,"United States",America/New_York,42.600518,-70.87618
01985,"West Newbury",MA,"United States",America/New_York,42.790736,-70.97286
02018,Accord,MA,"United States",America/New_York,41.970474,-70.701357
02019,Bellingham,MA,"United States",America/New_York,42.075122,-71.47953
02020,"Brant Rock",MA,"United States",America/New_York,42.081825,-70.643868
02021,Canton,MA,"United States",America/New_York,42.166776,-71.1343
02025,Cohasset,MA,"United States",America/New_York,42.241908,-70.81223
02026,Dedham,MA,"United States",America/New_York,42.244609,-71.16553
02027,Dedham,MA,"United States",America/New_York,42.180048,-71.08923
02030,Dover,MA,"United States",America/New_York,42.23888,-71.28241
02031,"East Mansfield",MA,"United States",America/New_York,41.998799,-71.200894
02032,"East Walpole",MA,"United States",America/New_York,42.153912,-71.21362
02035,Foxboro,MA,"United States",America/New_York,42.061427,-71.24232
02038,Franklin,MA,"United States",America/New_York,42.089104,-71.4069
02040,Greenbush,MA,"United States",America/New_York,41.970474,-70.701357
02041,"Green Harbor",MA,"United States",America/New_York,42.069642,-70.649075
02043,Hingham,MA,"United States",America/New_York,42.225708,-70.88764
02044,Hingham,MA,"United States",America/New_York,41.970474,-70.701357
02045,Hull,MA,"United States",America/New_York,42.286347,-70.87663
02047,Humarock,MA,"United States",America/New_York,42.142836,-70.69353
02048,Mansfield,MA,"United States",America/New_York,42.019982,-71.2191
02050,Marshfield,MA,"United States",America/New_York,42.109763,-70.69172
02051,"Marshfield Hills",MA,"United States",America/New_York,42.151202,-70.734146
02052,Medfield,MA,"United States",America/New_York,42.185571,-71.30476
02053,Medway,MA,"United States",America/New_York,42.151526,-71.42315
02054,Millis,MA,"United States",America/New_York,42.166398,-71.36178
02055,Minot,MA,"United States",America/New_York,41.970474,-70.701357
02056,Norfolk,MA,"United States",America/New_York,42.111836,-71.32855
02059,"North Marshfield",MA,"United States",America/New_York,41.970474,-70.701357
02060,"North Scituate",MA,"United States",America/New_York,41.970474,-70.701357
02061,Norwell,MA,"United States",America/New_York,42.15243,-70.8205
02062,Norwood,MA,"United States",America/New_York,42.185974,-71.20166
02065,"Ocean Bluff",MA,"United States",America/New_York,42.097219,-70.651567
02066,Scituate,MA,"United States",America/New_York,42.205038,-70.7513
02067,Sharon,MA,"United States",America/New_York,42.113749,-71.17923
02070,Sheldonville,MA,"United States",America/New_York,42.180048,-71.08923
02071,"South Walpole",MA,"United States",America/New_York,42.101406,-71.27239
02072,Stoughton,MA,"United States",America/New_York,42.125432,-71.10627
02081,Walpole,MA,"United States",America/New_York,42.145237,-71.25375
02090,Westwood,MA,"United States",America/New_York,42.212949,-71.20735
02093,Wrentham,MA,"United States",America/New_York,42.0597,-71.34617
02101,Boston,MA,"United States",America/New_York,42.370567,-71.026964
02102,Boston,MA,"United States",America/New_York,42.338947,-70.919635
02103,Boston,MA,"United States",America/New_York,42.338947,-70.919635
02104,Boston,MA,"United States",America/New_York,42.338947,-70.919635
02105,Boston,MA,"United States",America/New_York,42.338947,-70.919635
02106,Boston,MA,"United States",America/New_York,42.354318,-71.073449
